DB_ID,TAZ,ModelTAZ,NAME,AreaType,EXT,centroidcount,District,District_Name
1,3702100002001       ,1,00002001    1       ,0,0,1,8,Weaverville         
2,3702100002002       ,2,00002002    2       ,0,0,1,8,Weaverville         
3,3702100002003       ,3,00002003    3       ,0,0,1,8,Weaverville         
4,3702100002004       ,4,00002004    4       ,0,0,1,8,Weaverville         
5,3702100002005       ,5,00002005    5       ,0,0,1,8,Weaverville         
6,3702100002006       ,6,00002006    6       ,0,0,1,4,Black Mountain      
7,3702100002007       ,7,00002007    7       ,0,0,1,4,Black Mountain      
8,3702100002008       ,8,00002008    8       ,0,0,1,4,Black Mountain      
9,3702100002009       ,9,00002009    9       ,0,0,1,4,Black Mountain      
10,3702100002010       ,10,00002010    0       ,0,0,1,4,Black Mountain      
11,3702100002012       ,11,00002012    2       ,0,0,1,4,Black Mountain      
12,3711500007002       ,12,00007002    2       ,0,0,1,13,Hot Springs         
13,3702100002015       ,13,00002015    5       ,0,0,1,17,Fairview            
14,3702100002016       ,14,00002016    6       ,0,0,1,17,Fairview            
15,3702100002017       ,15,00002017    7       ,0,0,1,17,Fairview            
16,3702100002018       ,16,00002018    8       ,0,0,1,17,Fairview            
17,3702100002019       ,17,00002019    9       ,0,0,1,17,Fairview            
18,3702100002020       ,18,00002020    0       ,0,0,1,17,Fairview            
19,3702100002021       ,19,00002021    1       ,0,0,1,17,Fairview            
20,3702100002022       ,20,00002022    2       ,0,0,1,17,Fairview            
21,3702100002023       ,21,00002023    3       ,0,0,1,17,Fairview            
22,3702100002024       ,22,00002024    4       ,0,0,1,14,Biltmore Forest     
23,3702100002025       ,23,00002025    5       ,0,0,1,14,Biltmore Forest     
24,3717500005005       ,24,00005005    5       ,0,0,1,25,Rosman              
25,3717500005006       ,25,00005006    6       ,0,0,1,25,Rosman              
26,3702100002030       ,26,00002030    0       ,0,0,1,14,Biltmore Forest     
27,3702100002031       ,27,00002031    1       ,0,0,1,14,Biltmore Forest     
28,3717500005004       ,28,00005004    4       ,0,0,1,25,Rosman              
29,3702100002034       ,29,00002034    4       ,0,0,1,14,Biltmore Forest     
30,3702100002035       ,30,00002035    5       ,0,0,1,14,Biltmore Forest     
31,3702100002036       ,31,00002036    6       ,0,0,1,14,Biltmore Forest     
32,3702100002037       ,32,00002037    7       ,0,0,1,14,Biltmore Forest     
33,3702100002038       ,33,00002038    8       ,0,0,1,14,Biltmore Forest     
34,3702100002040       ,34,00002040    0       ,0,0,1,14,Biltmore Forest     
35,3702100002042       ,35,00002042    2       ,0,0,1,14,Biltmore Forest     
36,3702100002043       ,36,00002043    3       ,0,0,1,14,Biltmore Forest     
37,3702100002044       ,37,00002044    4       ,0,0,1,14,Biltmore Forest     
38,3702100002045       ,38,00002045    5       ,0,0,1,14,Biltmore Forest     
39,3702100002046       ,39,00002046    6       ,0,0,1,19,Enka Candler        
40,3702100002047       ,40,00002047    7       ,0,0,1,19,Enka Candler        
41,3702100002048       ,41,00002048    8       ,0,0,1,19,Enka Candler        
42,3702100002049       ,42,00002049    9       ,0,0,1,19,Enka Candler        
43,3702100002050       ,43,00002050    0       ,0,0,1,19,Enka Candler        
44,3702100002051       ,44,00002051    1       ,0,0,1,19,Enka Candler        
45,3702100002052       ,45,00002052    2       ,0,0,1,19,Enka Candler        
46,3702100002053       ,46,00002053    3       ,0,0,1,19,Enka Candler        
47,3702100002054       ,47,00002054    4       ,0,0,1,19,Enka Candler        
48,3702100002055       ,48,00002055    5       ,0,0,1,19,Enka Candler        
49,3702100002056       ,49,00002056    6       ,0,0,1,19,Enka Candler        
50,3702100002057       ,50,00002057    7       ,0,0,1,19,Enka Candler        
51,3702100002058       ,51,00002058    8       ,0,0,1,21,Leicester           
52,3702100002059       ,52,00002059    9       ,0,0,1,21,Leicester           
53,3702100002060       ,53,00002060    0       ,0,0,1,21,Leicester           
54,3702100002061       ,54,00002061    1       ,0,0,1,21,Leicester           
55,3702100002062       ,55,00002062    2       ,0,0,1,21,Leicester           
56,3702100002063       ,56,00002063    3       ,0,0,1,21,Leicester           
57,3702100002064       ,57,00002064    4       ,0,0,1,21,Leicester           
58,3702100002065       ,58,00002065    5       ,0,0,1,21,Leicester           
59,3702100002066       ,59,00002066    6       ,0,0,1,21,Leicester           
60,3702100002067       ,60,00002067    7       ,0,0,1,21,Leicester           
