Route_ID,Route_Name,Operator,Company,Mode,AM_Headway,OFF_Headway,XferPen,AM IWAIT,OFF_IWAIT,Time,RFacLocal,RFacPrem,FareFac,Fare,Line_No,ONS PEAK,OFFS PEAK,ONS OFFPK,OFFS OFFPK,ONS AM,OFFS AM,ONS PM,OFFS PM
1,170 EB                          ,0,0,4,60,120,0,30,60,0,0,0,0,0.5,01                              ,84.7317,84.7317,0,0,0,0,0,0
2,170 WB                          ,0,0,4,60,120,0,30,60,0,0,0,0,0.5,02                              ,42.5745,42.5745,19.9167,19.9167,0,0,0,0
3,N2 NB                           ,0,0,4,60,60,0,30,30,0,0,0,0,0.5,03                              ,132.531,132.531,47.2937,47.2937,0,0,0,0
4,N2 SB                           ,0,0,4,60,60,0,30,30,0,0,0,0,0.5,04                              ,174.461,174.461,98.3773,98.3773,0,0,0,0
5,E1 EB                           ,0,0,4,60,30,0,30,15,0,0,0,0,0.5,05                              ,168.427,168.427,372.36,372.36,0,0,0,0
6,E1 WB                           ,0,0,4,60,30,0,30,15,0,0,0,0,0.5,06                              ,156.826,156.826,112.821,112.821,0,0,0,0
7,C EB                            ,0,0,4,75,75,0,37.5,37.5,0,0,0,0,0.5,07                              ,118.396,118.396,57.7696,57.7696,0,0,0,0
8,C WB                            ,0,0,4,75,75,0,37.5,37.5,0,0,0,0,0.5,08                              ,47.8967,47.8967,9.3965,9.3965,0,0,0,0
9,N EB                            ,0,0,4,60,60,0,30,30,0,0,0,0,0.5,09                              ,73.718,73.718,42.634,42.634,0,0,0,0
10,N WB                            ,0,0,4,60,60,0,30,30,0,0,0,0,0.5,10                              ,20.7388,20.7388,12.2345,12.2345,0,0,0,0
11,N1 NB                           ,0,0,4,60,60,0,30,30,0,0,0,0,0.5,11                              ,171.864,171.864,86.3525,86.3525,0,0,0,0
12,N1 SB                           ,0,0,4,60,60,0,30,30,0,0,0,0,0.5,12                              ,160.492,160.492,89.6363,89.6363,0,0,0,0
13,N3 EB                           ,0,0,4,30,30,0,15,15,0,0,0,0,0.5,13                              ,297.138,297.138,117.841,117.841,0,0,0,0
14,N3 WB                           ,0,0,4,30,30,0,15,15,0,0,0,0,0.5,14                              ,49.2726,49.2726,9.01967,9.01967,0,0,0,0
15,E2 EB                           ,0,0,4,60,60,0,30,30,0,0,0,0,0.5,15                              ,155.426,155.426,39.56,39.56,0,0,0,0
16,E2 WB                           ,0,0,4,60,60,0,30,30,0,0,0,0,0.5,16                              ,211.567,211.567,96.5985,96.5985,0,0,0,0
17,S1 SB                           ,0,0,4,60,60,0,30,30,0,0,0,0,0.5,17                              ,146.063,146.063,38.2025,38.2025,0,0,0,0
18,S1 NB                           ,0,0,4,60,60,0,30,30,0,0,0,0,0.5,18                              ,197.367,197.367,108.237,108.237,0,0,0,0
19,S2 EB                           ,0,0,4,60,60,0,30,30,0,0,0,0,0.5,19                              ,73.4163,73.4163,11.3195,11.3195,0,0,0,0
20,S2 WB                           ,0,0,4,60,60,0,30,30,0,0,0,0,0.5,20                              ,81.8798,81.8798,48.108,48.108,0,0,0,0
21,S4 SB                           ,0,0,4,60,60,0,30,30,0,0,0,0,0.5,21                              ,120.105,120.105,48.1612,48.1612,0,0,0,0
22,S4 NB                           ,0,0,4,60,60,0,30,30,0,0,0,0,0.5,22                              ,160.96,160.96,69.7437,69.7437,0,0,0,0
23,W1 WB                           ,0,0,4,60,60,0,30,30,0,0,0,0,0.5,23                              ,74.2084,74.2084,66.6248,66.6248,0,0,0,0
24,W1 EB                           ,0,0,4,60,60,0,30,30,0,0,0,0,0.5,24                              ,275.253,275.253,148.04,148.04,0,0,0,0
25,W2 SB                           ,0,0,4,60,60,0,30,30,0,0,0,0,0.5,25                              ,122.336,122.336,76.1891,76.1891,0,0,0,0
26,W2 NB                           ,0,0,4,60,60,0,30,30,0,0,0,0,0.5,26                              ,236.205,236.205,106.581,106.581,0,0,0,0
27,W3 WB                           ,0,0,4,60,60,0,30,30,0,0,0,0,0.5,27                              ,72.674,72.674,47.5258,47.5258,0,0,0,0
28,W3 EB                           ,0,0,4,60,60,0,30,30,0,0,0,0,0.5,28                              ,112.077,112.077,62.8192,62.8192,0,0,0,0
29,W4 WB                           ,0,0,4,60,60,0,30,30,0,0,0,0,0.5,29                              ,42.3585,42.3585,12.8693,12.8693,0,0,0,0
30,W4 EB                           ,0,0,4,60,60,0,30,30,0,0,0,0,0.5,30                              ,85.5683,85.5683,52.9087,52.9087,0,0,0,0
31,S3 SB                           ,0,0,4,90,90,0,45,45,0,0,0,0,0.5,31                              ,86.8704,86.8704,46.825,46.825,0,0,0,0
32,S3 NB                           ,0,0,4,90,90,0,45,45,0,0,0,0,0.5,32                              ,26.449,26.449,28.217,28.217,0,0,0,0
33,White EB                        ,0,0,4,60,60,0,30,30,0,0,0,0,0.75,33                              ,102.982,102.982,27.788,27.788,0,0,0,0
34,White WB                        ,0,0,4,60,60,0,30,30,0,0,0,0,0.75,34                              ,3.492,3.492,9.564,9.564,0,0,0,0
35,Red SB                          ,0,0,4,60,60,0,30,30,0,0,0,0,0.75,35                              ,34.237,34.237,23.4105,23.4105,0,0,0,0
36,Red NB                          ,0,0,4,60,60,0,30,30,0,0,0,0,0.75,36                              ,21.8175,21.8175,25.991,25.991,0,0,0,0
37,Blue NB                         ,0,0,4,60,60,0,30,30,0,0,0,0,0.75,37                              ,41.4985,41.4985,12.9535,12.9535,0,0,0,0
38,Blue SB                         ,0,0,4,60,60,0,30,30,0,0,0,0,0.75,38                              ,56.689,56.689,43.826,43.826,0,0,0,0
39,Green EB                        ,0,0,4,45,45,0,22.5,22.5,0,0,0,0,1.5,39                              ,3.673,3.673,0,0,0,0,0,0
40,Green WB                        ,0,0,4,45,45,0,22.5,22.5,0,0,0,0,1.5,40                              ,3.673,3.673,0,0,0,0,0,0
