ID,COUNTY,TSZ,Special_Event_a,EventTransitBias,TripLengthBias,Orig_DriveTime,New_DriveTime,Time_Difference,OBJECTID,ITSZ05,DIST05,TSZ00,COUNTY_CODE,X_COORD,minCT,Land_Area,Model_Area,DART,FWTA,MPA,External,TSZ05,ACRES,Y_COORD,maxCT,JUR57,DIST66,TAD,Total_Area,TRACT,DIst30,Dist Name,Districts,District_Name,TAP00,LEN,SHAPE_area,SHAPE_len,RAA,City,Water_Area,DCTA,Airport,AREATP07,ATZONE,SHUTTLE,Hotel_Rooms,Hotel_Flag,Room_VL,Room_L,Room_M,Room_S,Hotel_Occupancy_Share,Business_meal_p,Business_business_p,Business_other_p,Business_nonhotel_p,Leisure_meal_p,Leisure_business_p,Leisure_other_p,Leisure_nonhotel_p,Business_meal_a,Business_business_a,Business_other_a,Business_nonhotel_a,Leisure_meal_a,Leisure_business_a,Leisure_other_a,Leisure_nonhotel_a,SERVICE,business_a,leisure_a,Total_a,NonCBD_Mask,Total_Business_p,Total_Leisure_p,Special_Event_p,Special_Event_PKOP,NormalParkingCost,Backup_NormalParkingCost,EventParkingCost,Dallas_CBD,Final_Org,Median_HH_Income
4915,Ellis           ,42001,0,0,0,0,0,0,6318,17236,139021          ,17135           ,13935           ,2.58274e+006,617,0,0,0,0,0,0,17236           ,37336.6,6.79723e+006,0,0,0,0,0,0617.00         ,30,Other Dist                    ,2,District 2                    ,0,0,1.62638e+009,243396,616,                              ,0,0,NonAirport                    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5291,Ellis                         ,42005,0,0,0,0,0,0,0,17236,139021                        ,17135                         ,13935                         ,2.59161e+006,0,0,0,0,0,0,0,17236                         ,0,6.81799e+006,0,0,0,0,0,0617.00                       ,30,Other Dist                    ,2,District 2                    ,0,0,0,0,616,                              ,0,0,NonAirport                    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5339,External                      ,21044,0,0,0,8.45741,0,0,0,0,       l                      ,       l                      ,       l                      ,2.60912e+006,0,0,0,0,0,0,1,       l                      ,0,6.79782e+006,0,0,0,0,0,9701.00                       ,30,Other Dist                    ,2,District 2                    ,0,0,0,0,944,                              ,0,0,NonAirport                    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5084,Kaufman                       ,18076,0,0,0,7.58981,0,0,6032,18076,257008                        ,18072                         ,25772                         ,2.61571e+006,512,0,0,0,0,0,0,18076                         ,24726.7,6.84753e+006,0,0,0,0,0,0512.00                       ,30,Other Dist                    ,2,District 2                    ,0,0,1.07709e+009,164834,608,                              ,0,0,NonAirport                    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5292,Ellis                         ,17100,0,0,0,0,0,0,0,17131,139009                        ,17100                         ,13900                         ,2.58085e+006,0,21.1215,21.1215,0,0,1,0,17131                         ,0,6.84411e+006,0,51,53,407,21.4667,0617.00                       ,28,Rockwal Cnty Dist             ,2,District 2      t             ,17100,0,0,0,781,OtherIncorporated             ,0.345189,0,NonAirport      d             ,5,0,0,0,0,0,0,0,0,0.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,652.84,0,0,0,0,0,1,60350
5094,Kaufman         d             ,47000,0,0,0,0,0,0,0,18084,257008          d             ,18082           d             ,25782           d             ,2.62228e+006,0,0,0,0,0,0,0,18084           d             ,0,6.82844e+006,0,0,0,0,0,0513.00         d             ,30,Other Dist                    ,2,District 2                    ,0,0,0,0,609,                              ,0,0,NonAirport                    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5138,Kaufman                       ,18078,0,0,0,7.74335,0,0,6273,18078,257008                        ,18077                         ,25777                         ,2.64515e+006,512,0,0,0,0,0,0,18078                         ,10822.1,6.84609e+006,0,0,0,0,0,0512.00                       ,30,Other Dist                    ,2,District 2                    ,0,0,4.71409e+008,105790,608,                              ,0,0,NonAirport                    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5092,Kaufman                       ,18073,0,0,0,7.8964,0,0,0,18072,257007                        ,18073                         ,25773                         ,2.60952e+006,0,11.0517,11.0517,0,0,1,0,18072                         ,0,6.87959e+006,0,52,52,408,11.0517,0508.00                       ,28,Rockwal Cnty Dist             ,2,District 2      t             ,18073,0,0,0,790,OtherUnincorporated           ,0,0,NonAirport      ted           ,5,0,0,0,0,0,0,0,0,0.62,0,0,0,0,0,0,0,0,3.182,2.33231,2.44115,0.587762,1.49913,0.0647201,5.31816,1.45536,148,23.236,14.948,38.184,1,0,0,3387.09,0,0,0,0,0,1,54620
5104,Kaufman         ted           ,47002,0,0,0,0,0,0,0,18076,257008          ted           ,18072           ted           ,25772           ted           ,2.62001e+006,0,0,0,0,0,0,0,18076           ted           ,0,6.86496e+006,0,0,0,0,0,0512.00         ted           ,30,Other Dist                    ,2,District 2                    ,0,0,0,0,608,                              ,0,0,NonAirport                    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5044,Kaufman                       ,18075,0,0,0,7.15549,0,0,0,18075,257007                        ,18075                         ,25775                         ,2.59719e+006,0,18.1958,18.1958,0,0,1,0,18075                         ,0,6.86231e+006,0,52,52,408,18.2738,0508.00                       ,28,Rockwal Cnty Dist             ,2,District 2      t             ,18075,0,0,0,790,OtherIncorporated             ,0.0780118,0,NonAirport      d             ,5,0,0,0,0,0,0,0,0,0.62,0,0,0,0,0,0,0,0,3.2465,2.37958,2.49063,0.599676,1.52952,0.066032,5.42596,1.48486,151,23.707,15.251,38.958,1,0,0,2385.52,0,0,0,0,0,1,54620
5152,Kaufman         d             ,47001,0,0,0,0,0,0,0,18084,257008          d             ,18082           d             ,25782           d             ,2.65281e+006,0,0,0,0,0,0,0,18084           d             ,0,6.8297e+006,0,0,0,0,0,0513.00         d             ,30,Other Dist                    ,2,District 2                    ,0,0,0,0,609,                              ,0,0,NonAirport                    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5340,External                      ,21043,0,0,0,10.865,0,0,0,0,       l                      ,       l                      ,       l                      ,2.63848e+006,0,0,0,0,0,0,1,       l                      ,0,6.81808e+006,0,0,0,0,0,                              ,30,Other Dist                    ,2,District 2                    ,0,0,0,0,943,                              ,0,0,NonAirport                    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5191,Kaufman                       ,18079,0,0,0,7.67235,0,0,6252,18079,257008                        ,18076                         ,25776                         ,2.66676e+006,513,0,0,0,0,0,0,18079                         ,4814.53,6.84766e+006,0,0,0,0,0,0513.00                       ,30,Other Dist                    ,2,District 2                    ,0,0,2.09721e+008,90454.3,609,                              ,0,0,NonAirport                    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
