ID,Street Name,Route Number,COUNTY,Screenline,TIP Project,Count Station ID,2005 Count Total,AB 2005 Count,BA 2005 Count,2005 Count,FUN_CLASS,CTP_Type,CTP_CD,TERRAIN_CD,DIVIDED_CD,SPD_LIMIT,LANE_WIDTH,AB_LANES,BA_LANES,MODE,CanWalk,TruckRstr
19251,US 19/23 US 25/70 SB                ,19/23/25/70 ,Buncombe        ,0,         ,0100702,27810,27000,0,54000,2,Freeways                   ,1,4,1,55,12,2,0,H   ,0,0
19079,US 19/23 US 25/70 NB                ,19/23/25/70 ,Buncombe        ,0,         ,0100702,27810,27000,0,54000,2,Freeways                   ,1,4,1,55,12,2,0,H   ,0,0
18769,Blue Ridge Pky                      ,            ,Buncombe        ,0,         ,       ,0,0,0,0,4,Minor Thoroughfares        ,5,3,0,40,10,1,1,1   ,1,0
22970,Elk Mountain Scenic Hwy             ,            ,Buncombe        ,0,         ,1000266,456,200,200,400,5,Minor Thoroughfares        ,5,3,0,25,10,1,1,1   ,1,0
22973,                                    ,            ,Buncombe        ,0,         ,       ,0,0,0,0,0,Centroid Connector         ,99,0,0,35,12,1,1,1   ,1,0
17824,Riverside Dr                        ,251         ,Buncombe        ,0,         ,1000249,1938,850,850,1700,4,Other Major Thoroughfares  ,4,4,0,35,12,1,1,1   ,1,0
29219,                                    ,            ,Buncombe        ,0,         ,       ,0,0,0,0,6,Minor Thoroughfares        ,5,4,0,35,11,1,1,1   ,1,0
23756,                                    ,            ,Buncombe        ,0,         ,       ,0,0,0,0,0,Centroid Connector         ,99,0,0,35,12,1,1,1   ,1,0
19471,Bear Creek Rd                       ,1283        ,Buncombe        ,0,         ,0101597,1545,750,750,1500,7,Minor Thoroughfares        ,5,4,0,40,11,1,1,1   ,1,0
18494,New Leicester Hwy                   ,63          ,Buncombe        ,0,U-3301   ,       ,0,0,0,0,5,Other Major Thoroughfares  ,4,4,0,55,12,1,1,1   ,1,0
23755,                                    ,            ,Buncombe        ,0,         ,       ,0,0,0,0,0,Centroid Connector         ,99,0,0,35,12,1,1,1   ,1,0
29704,                                    ,            ,Buncombe        ,0,         ,       ,0,0,0,0,0,Centroid Connector         ,99,0,0,35,12,1,1,1   ,1,0
