"","PTAZ","ATAZ","IVT","TRIPS","z"
"20",479,709,19.32,74.21,"HBNW_WLK"
"144",765,620,15.04,26.69,"HBW_WLK"
"212",663,749,5.24,15.84,"NHB_WLK"
"28",603,709,15.31,13.07,"HBNW_WLK"
"169",977,736,68.43,13.07,"HBW_WLK"
"222",734,2151,3.69,13.07,"NHB_WLK"
"303",663,593,0,13.07,"Unassigned_NHB_FRGPNR"
"304",628,663,0,13.07,"Unassigned_NHB_KNR"
"64",914,769,11.94,12.21,"HBNW_WLK"
"228",769,714,5.85,12.21,"NHB_WLK"
"116",426,766,11.84,10.9,"HBW_WLK"
"46",721,2152,8.06,9.94,"HBNW_WLK"
"105",2236,749,3.91,9.94,"HBW_FRGPNR"
"249",695,715,0,9.94,"Unassigned_HBNW_WLK"
"279",431,749,0,9.94,"Unassigned_HBW_FRGPNR"
"283",1455,749,0,9.94,"Unassigned_HBW_FRGPNR"
"48",751,768,5.57,9.59,"HBNW_WLK"
"104",2205,738,1.98,9.59,"HBW_FRGPNR"
"145",767,943,13.89,9.59,"HBW_WLK"
"215",700,768,9.48,9.59,"NHB_WLK"
"216",704,715,4.05,9.59,"NHB_WLK"
"220",730,770,4.1,9.59,"NHB_WLK"
"223",738,709,2.77,9.59,"NHB_WLK"
"224",739,766,4.1,9.59,"NHB_WLK"
"272",189,740,0,9.59,"Unassigned_HBW_FRGPNR"
"74",2015,663,15.43,9.37,"HBNW_WLK"
"197",457,749,3.78,9.37,"NHB_FRGPNR"
"286",2176,768,0,9.37,"Unassigned_HBW_FRGPNR"
"100",1068,711,5.98,9.31,"HBW_FRGPNR"
"236",2141,738,12.58,8.69,"NHB_WLK"
"188",2192,249,36.45,7.65,"HBW_WLK"
"36",657,770,13.15,7.51,"HBNW_WLK"
"132",636,2031,38.31,7.27,"HBW_WLK"
"200",319,613,36.77,7.27,"NHB_WLK"
"202",322,170,56.62,7.27,"NHB_WLK"
"299",2080,319,0,7.27,"Unassigned_HBW_WLK"
"95",521,738,3.78,7.15,"HBW_FRGPNR"
"96",536,738,3.78,7.15,"HBW_FRGPNR"
"99",942,739,3.91,7.15,"HBW_FRGPNR"
"115",410,684,10.33,7.15,"HBW_WLK"
"139",695,749,7.73,7.15,"HBW_WLK"
"226",743,709,8.94,7.15,"NHB_WLK"
"250",704,694,0,7.15,"Unassigned_HBNW_WLK"
"260",429,765,0,7.15,"Unassigned_HBW_CBDKNR"
"284",1601,739,0,7.15,"Unassigned_HBW_FRGPNR"
"1",194,428,36.93,6.54,"HBNW_WLK"
"29",606,709,18.57,6.54,"HBNW_WLK"
"57",866,918,30.61,6.54,"HBNW_WLK"
"217",706,417,18.2,6.54,"NHB_WLK"
"219",723,360,38.65,6.54,"NHB_WLK"
"242",169,918,0,6.54,"Unassigned_HBNW_WLK"
"268",2107,663,0,6.54,"Unassigned_HBW_CBDKNR"
"26",595,766,24.84,6.1,"HBNW_WLK"
"78",2106,770,22.55,6.1,"HBNW_WLK"
"311",766,246,0,6.1,"Unassigned_NHB_WLK"
"59",879,711,15.84,5.27,"HBNW_WLK"
"181",2010,709,8.75,5.27,"HBW_WLK"
"198",593,2010,30.5,5.27,"NHB_KNR"
"218",714,663,1.98,5.27,"NHB_WLK"
"247",663,709,0,5.27,"Unassigned_HBNW_WLK"
"291",457,699,0,5.27,"Unassigned_HBW_WLK"
"309",709,663,0,5.27,"Unassigned_NHB_WLK"
"75",2025,663,29.24,4.97,"HBNW_WLK"
"138",695,610,14.42,4.97,"HBW_WLK"
"237",2185,711,9.6,4.97,"NHB_WLK"
"12",357,663,43.69,4.8,"HBNW_WLK"
"21",510,2138,39.03,4.8,"HBNW_WLK"
"54",820,663,16.93,4.8,"HBNW_WLK"
"63",914,709,11.29,4.8,"HBNW_WLK"
"65",918,709,13.34,4.8,"HBNW_WLK"
"71",1950,704,30.26,4.8,"HBNW_WLK"
"72",1970,770,33.82,4.8,"HBNW_WLK"
"84",2177,425,37.85,4.8,"HBNW_WLK"
"86",2181,663,14.22,4.8,"HBNW_WLK"
"155",830,770,25.46,4.8,"HBW_WLK"
"162",874,2166,21.57,4.8,"HBW_WLK"
"221",730,1018,27.14,4.8,"NHB_WLK"
"225",739,770,4.1,4.8,"NHB_WLK"
"239",850,710,0,4.8,"Unassigned_HBNW_CBDKNR"
"240",884,771,0,4.8,"Unassigned_HBNW_PNR"
"244",409,767,0,4.8,"Unassigned_HBNW_WLK"
"15",410,714,8.97,4.68,"HBNW_WLK"
"40",695,170,34.88,4.59,"HBNW_WLK"
"77",2065,741,56.04,4.59,"HBNW_WLK"
