ID, NAME, LONGNAME, CIRCULAR, MODE, OPERATOR, HEADWAY[1], HEADWAY[2], USERA1
1 , B-7EB , Baymeadows-Commonwealth eb,F,1,21,40,60,LB
2 , B-7WB , Baymeadows-Commonwealth wb,F,1,21,40,60,LB
3 , B-9NB , Beaver-Lane NB,F,1,21,30,30,LB
4 , B-9SB , Beaver-Lane SB,F,1,21,30,30,LB
5 , CS-BaldEB , CS-Baldwin eb,F,2,21,180,0,CS
6 , CS-BaldWB , CS-Baldwin wb,F,2,21,180,360,CS
7 , F-1WB , Florida-Broadway-Detroit wb,F,1,21,30,60,LB
8 , F-1EB , Florida-Broadway-Detroit eb,F,1,21,30,60,LB
9 , CS-EDGSB , CS-Edgewood-NS27 sb,F,1,21,90,60,CS
10 , CS-EDGNB , CS-Edgewood-NS27 nb,F,1,21,60,72,CS
11 , N-6NB , Sherwood nb,F,1,21,45,45,LB
12 , N-6SB , Sherwood sb,F,1,21,45,45,LB
13 , M-5NB , Moncrief B nb,F,1,21,40,40,LB
14 , M-5SB , Moncrief B sb,F,1,21,40,40,LB
15 , CS-Dins-RiverWB , CS-Dinsmore-River City-NS31 wb,F,1,21,90,180,CS
16 , CS-DinsRiverEB , CS-Dinsmore River City-NS31 eb,F,1,21,90,180,CS
17 , CS-HighlandsSB , CS-Highlands sb,F,1,21,60,60,CS
18 , CS-HighlandsNB , CS-Highland nb,F,1,21,60,60,CS
19 , NS-19EB-NB , Ave B-River City Marketplace eb-nb,F,1,21,60,60,LB
20 , NS-19SB-WB , Ave B-River City Marketplace sb-wb,F,1,21,60,60,LB
21 , CS-NorthsideEB-NB , CS-Northside-NS25 eb-nb,F,1,21,60,60,CS
22 , CS-NorthsideSB-WB , CS-Northside-NS25 sb-wb,F,1,21,60,60,CS
23 , P-3NB , Ernest-Jammes nb,F,1,21,60,60,LB
24 , P-3SB , Ernest-Jammes sb,F,1,21,60,60,LB
