ID, NAME, LONGNAME, MODE, OPERATOR, HEADWAY[1], HEADWAY[2], HEADWAY[3], WAITCURVE, TIMEFAC[1],USERA1, USERA2, USERA3, USERA4
1 , M43L95PO , RTE 95:OB,42,451,,,120,6,,,,,44
2 , M16L110PM , RTE 95X: I95 EXP BRKL->GOLDEN GL,24,252,,,26,5,,SV   ,95X  ,1812 ,26   
3 , M16L112PM , RTE 95X: I95 EXP GOLDEN GLADES->,24,252,,,210,5,1.2,SV   ,95X  ,1812 ,26   
4 , M16L113PM , RTE 95X: I95 EXP AVENT -> GOLDEN,24,252,,,52,5,1.2,SV   ,95X  ,1812 ,26   
5 , M23L60MI , RTE 52: DADELAND S -> GABLES N/B,21,292,,,30,,1.2,SV   ,52   ,1920 ,23   
6 , M23L60MO , RTE 52: GABLES ->  DADELAND S S/,21,292,,,60,,1.2,SV   ,52   ,1920 ,23   
7 , M23L310MO , RTE 49: 183RD WB                ,21,292,,,30,,1.2,     ,     ,     ,23   
8 , M23L311MO , RTE 59: AVENTURA EB             ,21,292,,,30,,,     ,     ,     ,23   
9 , M23L320MO , RTE 136 DADELAND S WB           ,21,292,,,60,,1.2,     ,     ,     ,23   
10 , M23L321MI , RTE 136 CUTLER EB               ,21,292,,,60,,1.2,     ,     ,     ,23   
11 , M23L325MD , RTE 302 CARD SOUND              ,21,292,,,90,,1.2,     ,     ,     ,23   
12 , M43L1PO , RTE 1: SB                       ,41,492,20,20,15,,1.2,TAW  ,1    ,7172 ,43   
13 , M43L1PI , RTE 1: NB                       ,41,492,17,20,20,,1.2,TAW  ,1    ,7172 ,43   
14 , M43L2PI , RTE 2: SB,41,492,30,30,30,,1.2,TAW,2,3320,43
15 , M43L2PO , RTE 2: NB                       ,41,492,30,30,30,,1.2,TAW  ,2    ,3320 ,43   
16 , M43L3PI , RTE 3: SB                       ,41,492,60,60,60,,1.2,TAW  ,3    ,2889 ,43   
17 , M43L3PO , RTE 3: NB                       ,41,492,60,60,60,,1.2,TAW  ,3    ,2889 ,43   
18 , M43L300PI , RTE 3: SB (VA to Town Center)   ,41,492,60,60,60,,1.2,TAW  ,3    ,2889 ,43   
19 , M43L300PO , RTE 3: NB (VA to Town Center)   ,41,492,60,60,60,,1.2,TAW  ,3    ,2889 ,43   
20 , M43L4PO , RTE 4: NB                       ,41,492,60,60,60,,1.2,TAW  ,4    ,151  ,43   
21 , M43L4PI , RTE 4: SB                       ,41,492,60,60,60,,1.2,TAW  ,4    ,151  ,43   
22 , M43L20PI , RTE 20: SB                      ,41,492,60,60,60,,1.2,TAW  ,20   ,298  ,43   
23 , M43L20PO , RTE 20: NB                      ,41,492,60,60,60,,1.2,TAW  ,20   ,298  ,43   
24 , M43L30PI , RTE 30: WB (AM Route)           ,41,492,30,60,30,,1.2,TAW  ,30   ,406  ,43   
25 , M43L30PO , RTE 30: EB (AM Route)           ,41,492,30,60,30,,1.2,TAW  ,30   ,406  ,43   
26 , M43L301PI , RTE 30: WB (MD Route)           ,41,492,30,60,30,,1.2,TAW  ,30   ,406  ,43   
